fips,cattle_type,event_name,event_delta_head_10pp,event_delta_endorsement_10pp
20077,fed,pm19_coverage_dependent,0,0
20079,fed,pm19_coverage_dependent,0,0
20081,fed,pm19_coverage_dependent,0,0
20083,fed,pm19_coverage_dependent,0,0
20085,fed,pm19_coverage_dependent,0,0
20089,fed,pm19_coverage_dependent,0,0
20093,fed,pm19_coverage_dependent,0,0
20095,fed,pm19_coverage_dependent,0,0
20097,fed,pm19_coverage_dependent,0,0
20109,fed,pm19_coverage_dependent,0,0
20111,fed,pm19_coverage_dependent,0,0
20113,fed,pm19_coverage_dependent,0,0
20115,fed,pm19_coverage_dependent,0,0
20117,fed,pm19_coverage_dependent,0.7,0.7
20119,fed,pm19_coverage_dependent,0,0
20123,fed,pm19_coverage_dependent,0,0
20127,fed,pm19_coverage_dependent,0,0
20131,fed,pm19_coverage_dependent,0,0
20137,fed,pm19_coverage_dependent,0,0
20145,fed,pm19_coverage_dependent,0,0
20147,fed,pm19_coverage_dependent,0,0
20151,fed,pm19_coverage_dependent,0,0
20157,fed,pm19_coverage_dependent,0,0
20159,fed,pm19_coverage_dependent,0,0
20163,fed,pm19_coverage_dependent,0,0
20171,fed,pm19_coverage_dependent,0,0
20175,fed,pm19_coverage_dependent,0,0
20185,fed,pm19_coverage_dependent,0,0
20187,fed,pm19_coverage_dependent,0,0
20189,fed,pm19_coverage_dependent,0,0
20193,fed,pm19_coverage_dependent,0,0
20201,fed,pm19_coverage_dependent,1.2,1.2
20207,fed,pm19_coverage_dependent,0,0
27009,fed,pm19_coverage_dependent,0,0
27013,fed,pm19_coverage_dependent,0,0
27015,fed,pm19_coverage_dependent,0,0
27019,fed,pm19_coverage_dependent,0,0
27033,fed,pm19_coverage_dependent,0,0
27037,fed,pm19_coverage_dependent,0,0
27039,fed,pm19_coverage_dependent,0,0
27041,fed,pm19_coverage_dependent,0,0
27045,fed,pm19_coverage_dependent,0,0
27049,fed,pm19_coverage_dependent,0,0
27055,fed,pm19_coverage_dependent,0,0
27073,fed,pm19_coverage_dependent,0,0
27079,fed,pm19_coverage_dependent,0,0
27081,fed,pm19_coverage_dependent,0,0
27083,fed,pm19_coverage_dependent,0,0
27085,fed,pm19_coverage_dependent,0,0
27093,fed,pm19_coverage_dependent,0,0
27097,fed,pm19_coverage_dependent,0,0
27099,fed,pm19_coverage_dependent,0,0
27101,fed,pm19_coverage_dependent,0,0
27103,fed,pm19_coverage_dependent,0,0
27105,fed,pm19_coverage_dependent,0,0
27109,fed,pm19_coverage_dependent,0,0
27111,fed,pm19_coverage_dependent,0,0
27117,fed,pm19_coverage_dependent,0,0
27121,fed,pm19_coverage_dependent,0,0
27127,fed,pm19_coverage_dependent,0,0
27129,fed,pm19_coverage_dependent,0,0
27131,fed,pm19_coverage_dependent,0,0
27133,fed,pm19_coverage_dependent,0,0
27143,fed,pm19_coverage_dependent,0,0
27145,fed,pm19_coverage_dependent,0.7,0.7
27147,fed,pm19_coverage_dependent,0,0
27149,fed,pm19_coverage_dependent,0,0
27151,fed,pm19_coverage_dependent,0,0
27153,fed,pm19_coverage_dependent,0,0
27157,fed,pm19_coverage_dependent,0,0
27167,fed,pm19_coverage_dependent,0,0
27169,fed,pm19_coverage_dependent,0,0
27171,fed,pm19_coverage_dependent,0,0
27173,fed,pm19_coverage_dependent,0,0
28031,fed,pm19_coverage_dependent,0,0
29053,fed,pm19_coverage_dependent,0,0
29103,fed,pm19_coverage_dependent,0,0
29171,fed,pm19_coverage_dependent,0,0
29217,fed,pm19_coverage_dependent,0,0
30111,fed,pm19_coverage_dependent,0,0
31001,fed,pm19_coverage_dependent,0,0
31003,fed,pm19_coverage_dependent,0,0
31007,fed,pm19_coverage_dependent,0,0
31011,fed,pm19_coverage_dependent,0,0
31013,fed,pm19_coverage_dependent,0,0
31015,fed,pm19_coverage_dependent,0,0
31019,fed,pm19_coverage_dependent,0,0
31023,fed,pm19_coverage_dependent,0,0
31027,fed,pm19_coverage_dependent,0,0
31035,fed,pm19_coverage_dependent,1.2,1.2
31037,fed,pm19_coverage_dependent,0,0
31039,fed,pm19_coverage_dependent,0,0
31041,fed,pm19_coverage_dependent,0,0
31047,fed,pm19_coverage_dependent,0,0
31049,fed,pm19_coverage_dependent,0,0
31051,fed,pm19_coverage_dependent,0,0
31053,fed,pm19_coverage_dependent,0,0
31057,fed,pm19_coverage_dependent,0,0
31059,fed,pm19_coverage_dependent,0,0
31067,fed,pm19_coverage_dependent,0,0
31069,fed,pm19_coverage_dependent,0,0
31073,fed,pm19_coverage_dependent,0,0
31077,fed,pm19_coverage_dependent,0,0
31079,fed,pm19_coverage_dependent,0,0
31081,fed,pm19_coverage_dependent,0,0
31083,fed,pm19_coverage_dependent,0,0
31085,fed,pm19_coverage_dependent,0,0
31089,fed,pm19_coverage_dependent,0,0
31093,fed,pm19_coverage_dependent,0,0
31095,fed,pm19_coverage_dependent,0,0
31099,fed,pm19_coverage_dependent,0,0
31107,fed,pm19_coverage_dependent,0,0
31111,fed,pm19_coverage_dependent,0,0
31119,fed,pm19_coverage_dependent,0,0
31123,fed,pm19_coverage_dependent,0,0
31125,fed,pm19_coverage_dependent,0,0
31129,fed,pm19_coverage_dependent,0,0
31137,fed,pm19_coverage_dependent,0,0
31139,fed,pm19_coverage_dependent,0,0
31141,fed,pm19_coverage_dependent,0,0
31143,fed,pm19_coverage_dependent,0,0
31145,fed,pm19_coverage_dependent,0,0
31151,fed,pm19_coverage_dependent,0,0
31155,fed,pm19_coverage_dependent,0,0
31157,fed,pm19_coverage_dependent,0,0
31159,fed,pm19_coverage_dependent,0,0
31161,fed,pm19_coverage_dependent,0,0
31163,fed,pm19_coverage_dependent,0,0
31167,fed,pm19_coverage_dependent,0,0
31173,fed,pm19_coverage_dependent,0,0
31175,fed,pm19_coverage_dependent,0,0
31179,fed,pm19_coverage_dependent,0,0
31181,fed,pm19_coverage_dependent,0,0
31183,fed,pm19_coverage_dependent,0,0
31185,fed,pm19_coverage_dependent,0,0
32013,fed,pm19_coverage_dependent,0,0
35009,fed,pm19_coverage_dependent,0,0
38001,fed,pm19_coverage_dependent,0,0
38007,fed,pm19_coverage_dependent,0,0
38021,fed,pm19_coverage_dependent,0.7,0.7
38029,fed,pm19_coverage_dependent,0,0
38043,fed,pm19_coverage_dependent,0,0
38049,fed,pm19_coverage_dependent,0,0
38071,fed,pm19_coverage_dependent,0,0
38073,fed,pm19_coverage_dependent,0,0
38077,fed,pm19_coverage_dependent,0,0
38081,fed,pm19_coverage_dependent,0,0
38093,fed,pm19_coverage_dependent,0,0
39037,fed,pm19_coverage_dependent,0,0
39107,fed,pm19_coverage_dependent,0,0
40003,fed,pm19_coverage_dependent,0,0
40039,fed,pm19_coverage_dependent,0,0
40045,fed,pm19_coverage_dependent,0,0
40047,fed,pm19_coverage_dependent,0,0
40059,fed,pm19_coverage_dependent,0,0
40073,fed,pm19_coverage_dependent,0,0
40119,fed,pm19_coverage_dependent,0,0
40139,fed,pm19_coverage_dependent,0,0
40151,fed,pm19_coverage_dependent,0,0
41019,fed,pm19_coverage_dependent,0,0
41035,fed,pm19_coverage_dependent,0,0
41045,fed,pm19_coverage_dependent,0,0
41049,fed,pm19_coverage_dependent,0,0
42071,fed,pm19_coverage_dependent,0,0
46003,fed,pm19_coverage_dependent,0,0
46005,fed,pm19_coverage_dependent,0.719230769230769,0.75
46009,fed,pm19_coverage_dependent,0,0
46011,fed,pm19_coverage_dependent,0,0
46013,fed,pm19_coverage_dependent,0,0
46023,fed,pm19_coverage_dependent,0.7,0.7
46025,fed,pm19_coverage_dependent,0,0
46029,fed,pm19_coverage_dependent,0,0
46031,fed,pm19_coverage_dependent,0,0
46039,fed,pm19_coverage_dependent,0,0
46043,fed,pm19_coverage_dependent,0,0
46045,fed,pm19_coverage_dependent,0,0
46049,fed,pm19_coverage_dependent,0,0
46051,fed,pm19_coverage_dependent,0,0
46055,fed,pm19_coverage_dependent,0,0
46057,fed,pm19_coverage_dependent,0,0
46059,fed,pm19_coverage_dependent,0.7,0.7
46061,fed,pm19_coverage_dependent,0,0
46067,fed,pm19_coverage_dependent,0,0
46073,fed,pm19_coverage_dependent,0,0
46077,fed,pm19_coverage_dependent,0,0
46079,fed,pm19_coverage_dependent,0,0
46083,fed,pm19_coverage_dependent,0,0
46085,fed,pm19_coverage_dependent,0,0
46087,fed,pm19_coverage_dependent,0,0
46089,fed,pm19_coverage_dependent,0,0
46091,fed,pm19_coverage_dependent,0,0
46099,fed,pm19_coverage_dependent,0,0
46101,fed,pm19_coverage_dependent,0,0
46109,fed,pm19_coverage_dependent,0,0
46111,fed,pm19_coverage_dependent,0,0
46115,fed,pm19_coverage_dependent,0.7,0.7
46119,fed,pm19_coverage_dependent,0,0
46123,fed,pm19_coverage_dependent,0,0
46125,fed,pm19_coverage_dependent,0,0
46127,fed,pm19_coverage_dependent,0,0
46135,fed,pm19_coverage_dependent,0,0
48009,fed,pm19_coverage_dependent,0,0
48017,fed,pm19_coverage_dependent,0,0
48065,fed,pm19_coverage_dependent,0,0
48069,fed,pm19_coverage_dependent,0,0
48111,fed,pm19_coverage_dependent,0,0
48117,fed,pm19_coverage_dependent,0,0
48149,fed,pm19_coverage_dependent,0,0
48177,fed,pm19_coverage_dependent,0,0
48189,fed,pm19_coverage_dependent,0,0
48195,fed,pm19_coverage_dependent,0,0
48205,fed,pm19_coverage_dependent,0,0
48211,fed,pm19_coverage_dependent,0,0
