cattle_type,outcome,event_month,event_reference_month,coefficient,std_error,p_value
feeder,insured_head,-24,-1,-3.11538419046899,1.85684547553268,0.0933894252856281
feeder,insured_head,-23,-1,-2.40819753499312,1.84390134785431,0.191541054149194
feeder,insured_head,-22,-1,-3.95142614215208,1.89131056974386,0.0366849614171507
feeder,insured_head,-21,-1,-2.90534623544924,2.22686681896671,0.192002196422854
feeder,insured_head,-20,-1,-3.43942220862176,1.77573702908185,0.0527577642127495
feeder,insured_head,-19,-1,-1.62141375838812,2.65142376365861,0.54085161330397
feeder,insured_head,-18,-1,-2.29055641744886,1.38721713561402,0.0987001735646233
feeder,insured_head,-17,-1,-3.07794720685157,1.61369508225394,0.0564699955979961
feeder,insured_head,-16,-1,-3.26251612321407,1.94894426621938,0.0941322711390579
feeder,insured_head,-15,-1,-5.97977079502929,1.45161300725555,3.79864579174298e-05
feeder,insured_head,-14,-1,-13.3139991726082,5.29711394182884,0.0119558762952172
feeder,insured_head,-13,-1,-3.4346559354462,1.74451230511938,0.0489721041665588
feeder,insured_head,-12,-1,-8.25776996141617,2.23174144620152,0.000215475169287377
feeder,insured_head,-11,-1,-5.88571748295609,2.38378271023225,0.0135466128781223
feeder,insured_head,-10,-1,-4.0377137147502,2.05918690250001,0.04989895576984
feeder,insured_head,-9,-1,-7.20991554655645,1.8743347458883,0.000119742322389445
feeder,insured_head,-8,-1,0.0525086862579793,2.71952895983732,0.984595395852255
feeder,insured_head,-7,-1,-2.52270864947029,2.04688441967948,0.217776300721868
feeder,insured_head,-6,-1,-30.2818512129801,1.563989138793,1.61705877878938e-83
feeder,insured_head,-5,-1,-3.41414747721548,1.09389598801106,0.00180183154345566
feeder,insured_head,-4,-1,-4.10331873792932,1.94425474088766,0.0348166783652821
feeder,insured_head,-3,-1,-3.64557190607964,1.56338159432646,0.0197085655905595
feeder,insured_head,-2,-1,-7.02326070893027,1.57791062991578,8.54762624772148e-06
feeder,insured_head,0,-1,-1.84313070047425,2.26362157538426,0.415507608992838
feeder,insured_head,1,-1,-0.45331398725196,2.46961396837575,0.854361298749795
feeder,insured_head,2,-1,2.08283326486693,2.03013949823447,0.304912448485876
feeder,insured_head,3,-1,-1.19104215493102,2.20245304589023,0.588659355878383
feeder,insured_head,4,-1,0.527843900423628,1.94893130808126,0.786515930816693
feeder,insured_head,5,-1,-0.977758787967327,2.60074735549437,0.706951832601921
feeder,insured_head,6,-1,-3.17015770421733,1.91418165081038,0.09769295170972
feeder,insured_head,7,-1,0.20223479995247,2.63007026632789,0.93870842216622
feeder,insured_head,8,-1,3.4564886584236,3.86720454392272,0.371431505589289
feeder,insured_head,9,-1,1.85338498438849,2.92247471842382,0.525961132721971
feeder,insured_head,10,-1,-2.01254989017204,2.83692147800235,0.478068022990619
feeder,insured_head,11,-1,-2.58556376723826,2.56212368306126,0.31290332822114
feeder,endorsements,-24,-1,-1.17437265864683,1.44676759066234,0.416951335690824
feeder,endorsements,-23,-1,0.538345347663419,1.70706671123905,0.752486203745357
feeder,endorsements,-22,-1,-2.36308741311607,1.56412634999464,0.130838547312491
feeder,endorsements,-21,-1,-1.82356136538585,1.30929788782948,0.163686916527133
feeder,endorsements,-20,-1,-1.46810904118489,1.29297417074914,0.256186328214139
feeder,endorsements,-19,-1,2.59280101771648,3.21298004128189,0.419679730230996
feeder,endorsements,-18,-1,-1.69358782263173,1.00125833538197,0.090749095824
feeder,endorsements,-17,-1,-1.20294755475084,1.24905406686116,0.335503937149481
feeder,endorsements,-16,-1,-1.5097897909451,1.13373101203208,0.182958730634754
feeder,endorsements,-15,-1,-1.75690224580739,1.56939561921241,0.262936712307165
feeder,endorsements,-14,-1,-2.69623057904332,2.04912325991457,0.188242130598106
feeder,endorsements,-13,-1,-2.22462478219551,1.66453203267196,0.181390272512795
feeder,endorsements,-12,-1,-4.35562012498211,1.92117943763629,0.02338048671018
feeder,endorsements,-11,-1,-3.26013640189636,1.85354255651004,0.0785999578807671
feeder,endorsements,-10,-1,-3.7921950102017,1.71475335416074,0.0270005070861361
feeder,endorsements,-9,-1,-5.20052878340364,2.00860806359951,0.00962213517520464
feeder,endorsements,-8,-1,-2.03733909945129,1.89678760909106,0.282777975961355
feeder,endorsements,-7,-1,-1.45642173434931,1.42364081367555,0.306295497286572
feeder,endorsements,-6,-1,-30.0596471401292,1.31362863044529,6.87559797997484e-116
feeder,endorsements,-5,-1,-1.66512547861466,1.10271141300563,0.131036194288083
feeder,endorsements,-4,-1,-3.1932767637987,1.75461415080196,0.068769506577415
feeder,endorsements,-3,-1,-2.09236518585044,1.3716738080137,0.127156822029789
feeder,endorsements,-2,-1,-5.61569600776529,1.73993755275159,0.00124865111475074
feeder,endorsements,0,-1,-4.83222195236455,1.95151568231212,0.0132812267621699
feeder,endorsements,1,-1,-4.80578973307154,1.83123344240284,0.00868156018676375
feeder,endorsements,2,-1,1.76826751215601,1.74920034032948,0.312064051010021
feeder,endorsements,3,-1,-1.53112477182925,1.55196631587521,0.323853052326954
feeder,endorsements,4,-1,-0.0916864151583083,1.0899052395548,0.932958407080882
feeder,endorsements,5,-1,-2.55517619950763,1.66738873478097,0.125413448372979
feeder,endorsements,6,-1,-2.21863760720613,1.85308312498792,0.231202011875552
feeder,endorsements,7,-1,-1.13460429310964,1.87319047846845,0.544709438437768
feeder,endorsements,8,-1,1.84909660974588,2.08618365202039,0.37542695754345
feeder,endorsements,9,-1,-0.159094679254162,2.2442111178089,0.943484396766315
feeder,endorsements,10,-1,-0.929675068322275,2.11468004543807,0.660205698150529
feeder,endorsements,11,-1,-2.20128901419927,2.11416439397253,0.2977781163388
fed,insured_head,-22,-2,41.072154575062,0.712254990602126,0
fed,insured_head,-21,-2,40.5198909505393,1.34706343969689,8.80659990112943e-199
fed,insured_head,-20,-2,1.25289380713227,7.04009924164227e-07,0
fed,insured_head,-17,-2,0.7690456798979,7.04003320440032e-07,0
fed,insured_head,-10,-2,-2.54060556390514,0.0708690611425661,1.88646165449854e-281
fed,insured_head,3,-2,1.98225562845109,7.04970224386889e-07,0
fed,endorsements,-22,-2,42.2709415555,0.801347944217686,0
fed,endorsements,-21,-2,40.0644778162241,0.402480462867211,0
