cattle_type,observations,county_months,counties,zero_head_share,zero_endorsement_share,total_head,total_endorsements
fed,185,37,15,0.783783783783784,0.783783783783784,3937,58
feeder,4100,820,179,0.784634146341463,0.784634146341463,160246,1803
