endorsement_id_full,policy_effective_date,cattle_type,cov_level_pct,coverage_bin,subsidy_amt,total_prem_amt,prod_prem_amt,observed_rate,statutory_rate,rate_gap
13724,2015-10-19,feeder,0.9132,b90_94,0,58,58,0,0.13,-0.13
13738,2015-12-28,feeder,0.9254,b90_94,82,1264,1182,0.064873417721519,0.13,-0.065126582278481
13740,2015-12-28,feeder,0.9254,b90_94,90,1390,1300,0.0647482014388489,0.13,-0.0652517985611511
13747,2016-06-23,feeder,0.9774,b95_100,0,1838,1838,0,0.13,-0.13
13748,2016-06-23,feeder,0.9774,b95_100,0,1671,1671,0,0.13,-0.13
13768,2016-06-23,feeder,0.9941,b95_100,0,10995,10995,0,0.13,-0.13
13772,2015-07-01,feeder,0.9744,b95_100,729,7292,6563,0.0999725726823917,0.13,-0.0300274273176083
13800,2015-09-02,feeder,0.908,b90_94,255,1736,1481,0.146889400921659,0.13,0.016889400921659
13803,2015-08-06,feeder,0.9176,b90_94,23,103,80,0.223300970873786,0.13,0.0933009708737864
13806,2015-07-20,feeder,0.9279,b90_94,69,300,231,0.23,0.13,0.1
13807,2015-07-17,feeder,0.9334,b90_94,253,1787,1534,0.141578063794068,0.13,0.0115780637940683
13808,2015-08-03,feeder,0.9362,b90_94,153,1069,916,0.143124415341441,0.13,0.0131244153414406
13811,2015-08-04,feeder,0.9565,b95_100,99,429,330,0.230769230769231,0.13,0.100769230769231
13814,2015-08-06,feeder,0.9177,b90_94,11,47,36,0.234042553191489,0.13,0.104042553191489
13981,2016-04-06,feeder,0.9921,b95_100,0,3169,3169,0,0.13,-0.13
13985,2016-03-08,feeder,0.9924,b95_100,0,6744,6744,0,0.13,-0.13
14013,2015-09-03,feeder,0.9989,b95_100,739,3213,2474,0.230003112356054,0.13,0.100003112356054
14020,2015-09-01,feeder,0.9983,b95_100,1617,9447,7830,0.171165449349,0.13,0.0411654493489997
14059,2017-05-11,feeder,0.9958,b95_100,139,604,465,0.230132450331126,0.13,0.100132450331126
14071,2017-05-11,feeder,0.9958,b95_100,165,715,550,0.230769230769231,0.13,0.100769230769231
14118,2016-08-03,feeder,0.9949,b95_100,0,3873,3873,0,0.13,-0.13
14121,2016-08-08,feeder,0.9907,b95_100,0,3703,3703,0,0.13,-0.13
14124,2017-06-20,feeder,0.9877,b95_100,0,6250,6250,0,0.13,-0.13
14127,2017-04-20,fed,0.8963,b85_89,0,795,795,0,0.13,-0.13
14239,2017-05-24,feeder,0.9733,b95_100,0,257,257,0,0.13,-0.13
14335,2017-04-04,feeder,0.9534,b95_100,0,1498,1498,0,0.13,-0.13
14336,2017-04-04,feeder,0.9686,b95_100,0,1540,1540,0,0.13,-0.13
14355,2017-04-03,feeder,0.9749,b95_100,136,591,455,0.230118443316413,0.13,0.100118443316413
14358,2017-04-17,feeder,0.9691,b95_100,117,505,388,0.231683168316832,0.13,0.101683168316832
14359,2017-04-13,feeder,0.9838,b95_100,49,212,163,0.231132075471698,0.13,0.101132075471698
14378,2016-09-29,feeder,0.9948,b95_100,0,535,535,0,0.13,-0.13
14452,2016-12-01,feeder,0.998,b95_100,274,1192,918,0.229865771812081,0.13,0.0998657718120805
14523,2017-06-05,feeder,0.9916,b95_100,366,3896,3530,0.0939425051334702,0.13,-0.0360574948665298
14524,2017-06-02,feeder,0.9572,b95_100,0,2404,2404,0,0.13,-0.13
14566,2017-05-15,feeder,0.9862,b95_100,106,2719,2613,0.0389849209268113,0.13,-0.0910150790731887
14653,2017-04-04,feeder,0.9892,b95_100,732,3181,2449,0.230116315624018,0.13,0.100116315624018
14654,2017-04-04,feeder,0.9892,b95_100,358,1557,1199,0.229929351316635,0.13,0.0999293513166345
14657,2017-04-28,feeder,0.9747,b95_100,319,4864,4545,0.0655838815789474,0.13,-0.0644161184210526
14660,2017-03-28,feeder,0.9884,b95_100,1131,4918,3787,0.229971533143554,0.13,0.0999715331435543
14664,2017-01-31,fed,0.9983,b95_100,1589,6906,5317,0.230089777005502,0.13,0.100089777005502
14665,2017-03-28,fed,0.9899,b95_100,1332,5794,4462,0.229892992751122,0.13,0.0998929927511218
14669,2017-02-03,fed,0.9501,b95_100,0,2551,2551,0,0.13,-0.13
14673,2017-04-28,feeder,0.9958,b95_100,0,1019,1019,0,0.13,-0.13
14773,2017-05-11,feeder,0.8849,b85_89,0,206,206,0,0.13,-0.13
14793,2017-06-29,feeder,0.9584,b95_100,338,1466,1128,0.23055934515689,0.13,0.100559345156889
14801,2017-05-15,feeder,0.9862,b95_100,0,1891,1891,0,0.13,-0.13
14802,2017-05-15,feeder,0.9877,b95_100,0,2150,2150,0,0.13,-0.13
14915,2016-08-09,feeder,0.9936,b95_100,357,1554,1197,0.22972972972973,0.13,0.0997297297297297
15021,2016-07-29,feeder,0.9909,b95_100,0,178,178,0,0.13,-0.13
15068,2016-11-29,feeder,0.9092,b90_94,0,347,347,0,0.13,-0.13
15176,2017-06-02,feeder,0.9958,b95_100,80,3237,3157,0.0247142415817115,0.13,-0.105285758418289
15178,2017-06-02,feeder,0.9958,b95_100,205,4068,3863,0.05039331366765,0.13,-0.0796066863323501
15228,2017-04-28,feeder,0.9747,b95_100,5127,49073,43946,0.104477003647627,0.13,-0.025522996352373
15233,2017-06-07,feeder,0.9127,b90_94,0,245,245,0,0.13,-0.13
15259,2016-09-06,feeder,0.9503,b95_100,280,1217,937,0.230073952341824,0.13,0.100073952341824
15262,2017-05-30,feeder,0.9766,b95_100,248,1697,1449,0.14614024749558,0.13,0.0161402474955804
15268,2017-06-02,feeder,0.9507,b95_100,14,59,45,0.23728813559322,0.13,0.10728813559322
15303,2016-07-27,feeder,0.9982,b95_100,0,1131,1131,0,0.13,-0.13
15313,2016-07-27,feeder,0.9982,b95_100,0,1509,1509,0,0.13,-0.13
15368,2017-06-02,feeder,0.9958,b95_100,1847,11760,9913,0.157057823129252,0.13,0.0270578231292517
15424,2017-04-18,feeder,0.9193,b90_94,0,727,727,0,0.13,-0.13
15429,2017-05-01,feeder,0.9663,b95_100,0,650,650,0,0.13,-0.13
15435,2017-05-01,feeder,0.9663,b95_100,0,4287,4287,0,0.13,-0.13
15464,2017-04-18,feeder,0.9193,b90_94,0,799,799,0,0.13,-0.13
15593,2017-04-07,feeder,0.9879,b95_100,0,11329,11329,0,0.13,-0.13
15693,2018-05-29,feeder,0.9697,b95_100,0,354,354,0,0.13,-0.13
15718,2017-10-23,fed,0.9947,b95_100,111,484,373,0.229338842975207,0.13,0.0993388429752066
15768,2017-10-19,feeder,0.9075,b90_94,0,47,47,0,0.13,-0.13
15769,2017-10-19,feeder,0.9185,b90_94,0,76,76,0,0.13,-0.13
15770,2017-10-19,feeder,0.9186,b90_94,0,45,45,0,0.13,-0.13
15775,2017-10-19,feeder,0.9076,b90_94,0,52,52,0,0.13,-0.13
15785,2018-06-05,feeder,0.9748,b95_100,0,216,216,0,0.13,-0.13
15786,2018-06-28,feeder,0.9953,b95_100,0,229,229,0,0.13,-0.13
15886,2017-09-19,feeder,0.9884,b95_100,122,530,408,0.230188679245283,0.13,0.100188679245283
15887,2018-02-15,feeder,0.9012,b90_94,83,362,279,0.229281767955801,0.13,0.0992817679558011
15967,2017-08-03,feeder,0.9907,b95_100,0,1600,1600,0,0.13,-0.13
15969,2017-08-03,feeder,0.9906,b95_100,0,573,573,0,0.13,-0.13
15983,2017-11-02,feeder,0.9774,b95_100,0,72,72,0,0.13,-0.13
15990,2017-11-02,feeder,0.9774,b95_100,0,46,46,0,0.13,-0.13
16086,2017-09-20,feeder,0.993,b95_100,0,1787,1787,0,0.13,-0.13
16087,2017-09-20,feeder,0.993,b95_100,0,1312,1312,0,0.13,-0.13
16092,2017-07-10,feeder,0.9851,b95_100,1129,4905,3776,0.230173292558614,0.13,0.100173292558614
16093,2017-11-01,feeder,0.9926,b95_100,0,192,192,0,0.13,-0.13
16094,2017-11-01,feeder,0.9925,b95_100,0,247,247,0,0.13,-0.13
16171,2017-11-07,feeder,0.9534,b95_100,227,2551,2324,0.088984711877695,0.13,-0.041015288122305
16172,2017-11-07,feeder,0.9534,b95_100,0,723,723,0,0.13,-0.13
16194,2017-11-02,feeder,0.9646,b95_100,0,335,335,0,0.13,-0.13
16237,2017-11-07,feeder,0.979,b95_100,87,378,291,0.23015873015873,0.13,0.10015873015873
16240,2017-11-07,feeder,0.979,b95_100,98,425,327,0.230588235294118,0.13,0.100588235294118
16242,2017-07-21,feeder,0.9524,b95_100,0,260,260,0,0.13,-0.13
16243,2018-05-30,feeder,0.9754,b95_100,296,2563,2267,0.115489660554038,0.13,-0.0145103394459618
16244,2018-05-30,feeder,0.9754,b95_100,355,3167,2812,0.112093463845911,0.13,-0.017906536154089
16286,2017-11-06,feeder,0.9871,b95_100,111,481,370,0.230769230769231,0.13,0.100769230769231
16294,2017-11-06,feeder,0.987,b95_100,122,534,412,0.228464419475655,0.13,0.0984644194756554
16344,2017-12-18,feeder,0.9618,b95_100,0,3593,3593,0,0.13,-0.13
16350,2018-01-16,feeder,0.9539,b95_100,0,730,730,0,0.13,-0.13
16351,2018-01-16,feeder,0.9543,b95_100,0,851,851,0,0.13,-0.13
16354,2017-09-21,feeder,0.9924,b95_100,124,537,413,0.230912476722533,0.13,0.100912476722533
16355,2017-11-14,feeder,0.9795,b95_100,0,4192,4192,0,0.13,-0.13
16356,2018-01-19,feeder,0.9988,b95_100,0,872,872,0,0.13,-0.13
16483,2017-10-03,feeder,0.976,b95_100,0,1559,1559,0,0.13,-0.13
16494,2019-04-24,feeder,0.9755,b95_100,0,775,775,0,0.13,-0.13
16495,2019-04-26,feeder,0.9619,b95_100,0,217,217,0,0.13,-0.13
16515,2018-11-20,feeder,0.9712,b95_100,0,365,365,0,0.13,-0.13
16519,2018-11-20,feeder,0.9712,b95_100,0,282,282,0,0.13,-0.13
16523,2019-04-05,feeder,0.9307,b90_94,0,334,334,0,0.13,-0.13
16532,2019-06-18,feeder,0.9132,b90_94,193,836,643,0.230861244019139,0.13,0.100861244019139
16546,2019-06-07,feeder,0.9318,b90_94,16,244,228,0.0655737704918033,0.13,-0.0644262295081967
16549,2019-06-07,feeder,0.9318,b90_94,18,270,252,0.0666666666666667,0.13,-0.0633333333333333
16565,2019-02-21,feeder,0.9123,b90_94,0,392,392,0,0.13,-0.13
16603,2018-12-03,feeder,0.9898,b95_100,90,390,300,0.230769230769231,0.13,0.100769230769231
16608,2018-11-01,feeder,0.9264,b90_94,287,1247,960,0.230152365677626,0.13,0.100152365677626
16609,2018-10-17,feeder,0.9995,b95_100,124,539,415,0.230055658627087,0.13,0.100055658627087
16627,2019-03-11,feeder,0.9787,b95_100,591,2569,1978,0.230050603347606,0.13,0.100050603347606
16652,2019-03-11,feeder,0.9788,b95_100,4,28,24,0.142857142857143,0.13,0.0128571428571428
16670,2018-07-02,feeder,0.9874,b95_100,152,659,507,0.230652503793627,0.13,0.100652503793627
16671,2018-07-02,feeder,0.9873,b95_100,167,725,558,0.230344827586207,0.13,0.100344827586207
16720,2018-11-16,feeder,0.9724,b95_100,216,942,726,0.229299363057325,0.13,0.0992993630573248
16802,2018-07-18,feeder,0.9058,b90_94,0,549,549,0,0.13,-0.13
16828,2018-09-20,feeder,0.9995,b95_100,136,754,618,0.180371352785146,0.13,0.0503713527851459
16858,2018-07-23,feeder,0.9762,b95_100,203,884,681,0.229638009049774,0.13,0.0996380090497737
16860,2018-07-23,feeder,0.9762,b95_100,172,746,574,0.230563002680965,0.13,0.100563002680965
16987,2018-10-31,feeder,0.9447,b90_94,106,464,358,0.228448275862069,0.13,0.098448275862069
16988,2018-11-26,feeder,0.9579,b95_100,306,1327,1021,0.230595327807084,0.13,0.100595327807084
