cattle_type,observations,counties,months,active_county_months,active_share,mean_active_head,mean_active_endorsements,total_head,total_endorsements
fed,17712,369,48,303,0.0171070460704607,452.739273927393,1.85808580858086,137180,563
feeder,52368,1091,48,2404,0.045905896730828,350.966722129784,2.77329450915141,843724,6667
