cattle_type,outcome,design,event_name,window_months,weighting,term,coefficient,std_error,p_value,nobs,status
feeder,head_share,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,0.0159648384965626,0.0128662655179654,0.21552432274033,10815,estimated
feeder,endorsement_share,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,0.0133950536330519,0.0126159625639729,0.289100785596064,10815,estimated
feeder,insured_head,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,4.05597705021504,1.64245398503834,0.0135316539829155,2325,estimated
feeder,endorsements,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,1.29098179345887,0.961362831203593,0.179315255090348,2325,estimated
fed,head_share,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,1.7111797111479e-16,1.53685441419984e-15,0.911663008589457,1330,estimated
fed,endorsement_share,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,2.38769262020637e-16,1.43297040207315e-15,0.868145186738129,1330,estimated
fed,insured_head,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,,,,,"not_estimated: argument ""env"" is missing, with no default"
fed,endorsements,stacked_two_reforms,pm19_plus_pm20,12,unweighted,post_delta_10pp,,,,,"not_estimated: argument ""env"" is missing, with no default"
feeder,insured_head,predetermined_exposure_scale,full_schedule,,unweighted,pred_head_exposure_10pp,-0.455923304992635,0.313842140621612,0.146302794567877,2024,estimated
feeder,endorsements,predetermined_exposure_scale,full_schedule,,unweighted,pred_endorsement_exposure_10pp,-0.168493737506417,0.228223277554484,0.460341505848345,2024,estimated
fed,insured_head,predetermined_exposure_scale,full_schedule,,unweighted,pred_head_exposure_10pp,3.79464155507957,2.60387589082986,0.145032186067562,73,estimated
fed,endorsements,predetermined_exposure_scale,full_schedule,,unweighted,pred_endorsement_exposure_10pp,1.12068014751605,0.353957916692492,0.00154476682326747,73,estimated
