cattle_type,outcome,design,window_months,fe_setup,event_time,coefficient,std_error,p_value
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,0.110992004044177,0.0652199976242497,0.0896356922574781
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,0.182784262817398,0.0736290578848654,0.0134914930776091
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,0.0903045508437454,0.056354023750664,0.109913916711067
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,0.0695203271259616,0.0632285428378519,0.272265044765573
fed,any_lrp,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,5,0.10287614309417,0.071023709696805,0.148335447373709
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,2.69281204307931,0.829629178920988,0.0011712026920077
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,3.32833850686544,1.96164889990627,0.0897525423620707
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,3.32833850686532,1.96164963318921,0.0897526623318545
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,1.03794236384754,0.41088734769058,0.0115336778066481
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,-0.536030241133256,0.640644516015702,0.402758608610043
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,-0.237915840151512,0.492832166806366,0.629271654856956
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,-1.2760144547373,0.714356646927856,0.0740599454138803
fed,insured_head,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,-0.648463776702079,0.48439311968458,0.180663846693786
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-6,2.12094857245875,0.763329905192566,0.00546024913644849
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-4,1.14655682170132,1.71386683737717,0.503502956421844
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,-2,1.14655682170032,1.71386735783964,0.503503086017017
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,0,1.31789136665601,0.408090987346642,0.00124047776917887
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,1,0.356302148142061,0.483384049800967,0.461061834748194
