cattle_type,observations,counties,active_county_months,zero_head_share,zero_endorsement_share,total_head,total_endorsements
fed,24330,369,4866,0.772708590217838,0.772708590217838,2991568,14571
feeder,139975,1091,27995,0.774123950705483,0.774123950705483,13858223,106350
