cattle_type,county_months,counties,share_one_positive_head_tier,share_two_plus_positive_head_tiers,share_one_positive_endorsement_tier,share_two_plus_positive_endorsement_tiers
fed,37,15,0.918918918918919,0.0810810810810811,0.918918918918919,0.0810810810810811
feeder,820,179,0.924390243902439,0.075609756097561,0.924390243902439,0.075609756097561
